"","speaker","dialogue","norm.dialogue","length"
"26","ESTRAGON","It hurts?","it hurts",2
"27","VLADIMIR","Hurts! He wants to know if it hurts!","hurts he wants to know if it hurts",8
"28","ESTRAGON","You might button it all the same.","you might button it all the same",7
"29","VLADIMIR","True. Never neglect the little things of life.","true never neglect the little things of life",8
"30","ESTRAGON","What do you expect, you always wait till the last moment.","what do you expect you always wait till the last moment",11
"31","VLADIMIR","The last moment . . . Hope deferred maketh the something sick, who said that?","the last moment    hope deferred maketh the something sick who said that",12
"32","ESTRAGON","Why don't you help me?","why dont you help me",5
"33","VLADIMIR","Sometimes I feel it coming all the same. Then I go all queer. How shall I say? Relieved and at the same time appalled. APPALLED. Funny. Nothing to be done. Well?","sometimes i feel it coming all the same then i go all queer how shall i say relieved and at the same time appalled appalled funny nothing to be done well",31
"34","ESTRAGON","Nothing.","nothing",1
"35","VLADIMIR","Show me.","show me",2
"36","ESTRAGON","There's nothing to show.","theres nothing to show",4
"37","VLADIMIR","Try and put it on again.","try and put it on again",6
"38","ESTRAGON","I'll air it for a bit.","ill air it for a bit",6
"39","VLADIMIR","There's man all over for you, blaming on his boots the faults of his feet. This is getting alarming. One of the thieves was saved. It's a reasonable percentage. Gogo.","theres man all over for you blaming on his boots the faults of his feet this is getting alarming one of the thieves was saved its a reasonable percentage gogo",30
"40","ESTRAGON","What?","what",1
"41","VLADIMIR","Suppose we repented.","suppose we repented",3
"42","ESTRAGON","Repented what?","repented what",2
"43","VLADIMIR","Oh We wouldn't have to go into the details.","oh we wouldnt have to go into the details",9
"44","ESTRAGON","Our being born?","our being born",3
"45","VLADIMIR","One daren't even laugh any more.","one darent even laugh any more",6
"46","ESTRAGON","Dreadful privation.","dreadful privation",2
"47","VLADIMIR","Merely smile. It's not the same thing. Nothing to be done. Gogo.","merely smile its not the same thing nothing to be done gogo",12
"48","ESTRAGON","What is it?","what is it",3
"49","VLADIMIR","Did you ever read the bible?","did you ever read the bible",6
"50","ESTRAGON","The bible I must have taken a look at it.","the bible i must have taken a look at it",10
"51","VLADIMIR","Do you remember the Gospels?","do you remember the gospels",5
"52","ESTRAGON","I remember the maps of the Holy Land. Coloured they were. Very pretty. The Dead Sea was pale blue. The very look of it made me thirsty. That's where we'll go, I used to say, that's where we'll go for our honeymoon. We'll swim. We'll be happy.","i remember the maps of the holy land coloured they were very pretty the dead sea was pale blue the very look of it made me thirsty thats where well go i used to say thats where well go for our honeymoon well swim well be happy",47
"53","VLADIMIR","You should have been a poet.","you should have been a poet",6
"54","ESTRAGON","I was. Isn't that obvious?","i was isnt that obvious",5
"55","VLADIMIR","Where was I How's your foot?","where was i hows your foot",6
"56","ESTRAGON","Swelling visibly.","swelling visibly",2
"57","VLADIMIR","Ah yes, the two thieves. Do you remember the story?","ah yes the two thieves do you remember the story",10
"58","ESTRAGON","No.","no",1
"59","VLADIMIR","Shall I tell it to you?","shall i tell it to you",6
"60","ESTRAGON","No.","no",1
"61","VLADIMIR","It'll pass the time. Two thieves, crucified at the same time as our Saviour. One","itll pass the time two thieves crucified at the same time as our saviour one",15
"62","ESTRAGON","Our what?","our what",2
"63","VLADIMIR","Our Saviour. Two thieves. One is supposed to have been saved and the other damned.","our saviour two thieves one is supposed to have been saved and the other damned",15
"64","ESTRAGON","Saved from what?","saved from what",3
"65","VLADIMIR","Hell.","hell",1
"66","ESTRAGON","I'm going.","im going",2
"67","VLADIMIR","And yet how is it this is not boring you I hope how is it that of the four Evangelists only one speaks of a thief being saved. The four of them were there or thereabouts and only one speaks of a thief being saved. Come on, Gogo, return the ball, can't you, once in a while?","and yet how is it this is not boring you i hope how is it that of the four evangelists only one speaks of a thief being saved the four of them were there or thereabouts and only one speaks of a thief being saved come on gogo return the ball cant you once in a while",57
"68","ESTRAGON","I find this really most extraordinarily interesting.","i find this really most extraordinarily interesting",7
"69","VLADIMIR","One out of four. Of the other three, two don't mention any thieves at all and the third says that both of them abused him.","one out of four of the other three two dont mention any thieves at all and the third says that both of them abused him",25
"70","ESTRAGON","Who?","who",1
"71","VLADIMIR","What?","what",1
"72","ESTRAGON","What's all this about? Abused who?","whats all this about abused who",6
"73","VLADIMIR","The Saviour.","the saviour",2
"74","ESTRAGON","Why?","why",1
"75","VLADIMIR","because he wouldn't save them.","because he wouldnt save them",5
"76","ESTRAGON","From hell?","from hell",2
"77","VLADIMIR","Imbecile! From death.","imbecile from death",3
"78","ESTRAGON","I thought you said hell.","i thought you said hell",5
"79","VLADIMIR","From death, from death.","from death from death",4
"80","ESTRAGON","Well what of it?","well what of it",4
"81","VLADIMIR","Then the two of them must have been damned.","then the two of them must have been damned",9
"82","ESTRAGON","And why not?","and why not",3
"83","VLADIMIR","but one of the four says that one of the two was saved.","but one of the four says that one of the two was saved",13
"84","ESTRAGON","Well? They don't agree and that's all there is to it.","well they dont agree and thats all there is to it",11
"85","VLADIMIR","but all four were there. And only one speaks of a thief being saved. Why believe him rather than the others?","but all four were there and only one speaks of a thief being saved why believe him rather than the others",21
"86","ESTRAGON","Who believes him?","who believes him",3
"87","VLADIMIR","Everybody. It's the only version they know.","everybody its the only version they know",7
"88","ESTRAGON","People are bloody ignorant apes.","people are bloody ignorant apes",5
"89","VLADIMIR","Pah!","pah",1
"90","ESTRAGON","Charming spot. Inspiring prospects. Let's go.","charming spot inspiring prospects lets go",6
"91","VLADIMIR","We can't.","we cant",2
"92","ESTRAGON","Why not?","why not",2
"93","VLADIMIR","We're waiting for Godot.","were waiting for godot",4
"94","ESTRAGON","Ah! You're sure it was here?","ah youre sure it was here",6
"95","VLADIMIR","What?","what",1
"96","ESTRAGON","That we were to wait.","that we were to wait",5
"97","VLADIMIR","He said by the tree. Do you see any others?","he said by the tree do you see any others",10
"98","ESTRAGON","What is it?","what is it",3
"99","VLADIMIR","I don't know. A willow.","i dont know a willow",5
"100","ESTRAGON","Where are the leaves?","where are the leaves",4
"101","VLADIMIR","It must be dead.","it must be dead",4
"102","ESTRAGON","No more weeping.","no more weeping",3
"103","VLADIMIR","Or perhaps it's not the season.","or perhaps its not the season",6
"104","ESTRAGON","Looks to me more like a bush.","looks to me more like a bush",7
"105","VLADIMIR","A shrub.","a shrub",2
"106","ESTRAGON","A bush.","a bush",2
"107","VLADIMIR","A. What are you insinuating? That we've come to the wrong place?","a what are you insinuating that weve come to the wrong place",12
"108","ESTRAGON","He should be here.","he should be here",4
"109","VLADIMIR","He didn't say for sure he'd come.","he didnt say for sure hed come",7
"110","ESTRAGON","And if he doesn't come?","and if he doesnt come",5
"111","VLADIMIR","We'll come back tomorrow.","well come back tomorrow",4
"112","ESTRAGON","And then the day after tomorrow.","and then the day after tomorrow",6
"113","VLADIMIR","Possibly.","possibly",1
"114","ESTRAGON","And so on.","and so on",3
"115","VLADIMIR","The point is","the point is",3
"116","ESTRAGON","Until he comes.","until he comes",3
"117","VLADIMIR","You're merciless.","youre merciless",2
"118","ESTRAGON","We came here yesterday.","we came here yesterday",4
"119","VLADIMIR","Ah no, there you're mistaken.","ah no there youre mistaken",5
"120","ESTRAGON","What did we do yesterday?","what did we do yesterday",5
"121","VLADIMIR","What did we do yesterday?","what did we do yesterday",5
"122","ESTRAGON","Yes.","yes",1
"123","VLADIMIR","Why Nothing is certain when you're about.","why nothing is certain when youre about",7
"124","ESTRAGON","In my opinion we were here.","in my opinion we were here",6
"125","VLADIMIR","You recognize the place?","you recognize the place",4
"126","ESTRAGON","I didn't say that.","i didnt say that",4
"127","VLADIMIR","Well?","well",1
"128","ESTRAGON","That makes no difference.","that makes no difference",4
"129","VLADIMIR","All the same that tree . . . that bog","all the same that tree    that bog",7
"130","ESTRAGON","You're sure it was this evening?","youre sure it was this evening",6
"131","VLADIMIR","What?","what",1
"132","ESTRAGON","That we were to wait.","that we were to wait",5
"133","VLADIMIR","He said Saturday. I think.","he said saturday i think",5
"134","ESTRAGON","You think.","you think",2
"135","VLADIMIR","I must have made a note of it.","i must have made a note of it",8
"136","ESTRAGON","but what Saturday? And is it Saturday? Is it not rather Sunday? Or Monday? Or Friday?","but what saturday and is it saturday is it not rather sunday or monday or friday",16
"137","VLADIMIR","It's not possible!","its not possible",3
"138","ESTRAGON","Or Thursday?","or thursday",2
"139","VLADIMIR","What'll we do?","whatll we do",3
"140","ESTRAGON","If he came yesterday and we weren't here you may be sure he won't come again today.","if he came yesterday and we werent here you may be sure he wont come again today",17
"141","VLADIMIR","but you say we were here yesterday.","but you say we were here yesterday",7
"142","ESTRAGON","I may be mistaken. Let's stop talking for a minute, do you mind?","i may be mistaken lets stop talking for a minute do you mind",13
"143","VLADIMIR","All right. Gogo! Gogo! GOGO!","all right gogo gogo gogo",5
"144","ESTRAGON","I was asleep! Why will you never let me sleep?","i was asleep why will you never let me sleep",10
"145","VLADIMIR","I felt lonely.","i felt lonely",3
"146","ESTRAGON","I had a dream.","i had a dream",4
"147","VLADIMIR","Don't tell me!","dont tell me",3
"148","ESTRAGON","I dreamt that","i dreamt that",3
"149","VLADIMIR","DON'T TELL ME!","dont tell me",3
"150","ESTRAGON","This one is enough for you? It's not nice of you, Didi. Who am I to tell my private nightmares to if I can't tell them to you?","this one is enough for you its not nice of you didi who am i to tell my private nightmares to if i cant tell them to you",28
"151","VLADIMIR","Let them remain private. You know I can't bear that.","let them remain private you know i cant bear that",10
"152","ESTRAGON","There are times when I wonder if it wouldn't be better for us to part.","there are times when i wonder if it wouldnt be better for us to part",15
"153","VLADIMIR","You wouldn't go far.","you wouldnt go far",4
"154","ESTRAGON","That would be too bad, really too bad. Wouldn't it, Didi, be really too bad? When you think of the beauty of the way. And the goodness of the wayfarers. Wouldn't it, Didi?","that would be too bad really too bad wouldnt it didi be really too bad when you think of the beauty of the way and the goodness of the wayfarers wouldnt it didi",33
"155","VLADIMIR","Calm yourself.","calm yourself",2
"156","ESTRAGON","Calm calm The English say cawm. You know the story of the Englishman in the brothel?","calm calm the english say cawm you know the story of the englishman in the brothel",16
"157","VLADIMIR","Yes.","yes",1
"158","ESTRAGON","Tell it to me.","tell it to me",4
"159","VLADIMIR","Ah stop it!","ah stop it",3
"160","ESTRAGON","An Englishman having drunk a little more than usual proceeds to a brothel. The bawd asks him if he wants a fair one, a dark one or a redhaired one. Go on.","an englishman having drunk a little more than usual proceeds to a brothel the bawd asks him if he wants a fair one a dark one or a redhaired one go on",32
"161","VLADIMIR","STOP IT!","stop it",2
"162","ESTRAGON","You wanted to speak to me? You had something to say to me? Didi","you wanted to speak to me you had something to say to me didi",14
"163","VLADIMIR","I've nothing to say to you.","ive nothing to say to you",6
"164","ESTRAGON","You're angry? Forgive me. Come, Didi. Give me your hand. Embrace me! Don't be stubborn! You stink of garlic!","youre angry forgive me come didi give me your hand embrace me dont be stubborn you stink of garlic",19
"165","VLADIMIR","It's for the kidneys. What do we do now?","its for the kidneys what do we do now",9
"166","ESTRAGON","Wait.","wait",1
"167","VLADIMIR","Yes, but while waiting.","yes but while waiting",4
"168","ESTRAGON","What about hanging ourselves?","what about hanging ourselves",4
"169","VLADIMIR","Hmm. It'd give us an erection.","hmm itd give us an erection",6
"170","ESTRAGON","An erection!","an erection",2
"171","VLADIMIR","With all that follows. Where it falls mandrakes grow. That's why they shriek when you pull them up. Did you not know that?","with all that follows where it falls mandrakes grow thats why they shriek when you pull them up did you not know that",23
"172","ESTRAGON","Let's hang ourselves immediately!","lets hang ourselves immediately",4
"173","VLADIMIR","From a bough? I wouldn't trust it.","from a bough i wouldnt trust it",7
"174","ESTRAGON","We can always try.","we can always try",4
"175","VLADIMIR","Go ahead.","go ahead",2
"176","ESTRAGON","After you.","after you",2
"177","VLADIMIR","No no, you first.","no no you first",4
"178","ESTRAGON","Why me?","why me",2
"179","VLADIMIR","You're lighter than I am.","youre lighter than i am",5
"180","ESTRAGON","Just so!","just so",2
"181","VLADIMIR","I don't understand.","i dont understand",3
"182","ESTRAGON","Use your intelligence, can't you?","use your intelligence cant you",5
"183","VLADIMIR","I remain in the dark.","i remain in the dark",5
"184","ESTRAGON","This is how it is. The bough . . . the bough Use your head, can't you?","this is how it is the bough    the bough use your head cant you",14
"185","VLADIMIR","You're my only hope.","youre my only hope",4
"186","ESTRAGON","Gogo lightbough not breakGogo dead. Didi heavybough breakDidi alone. Whereas","gogo lightbough not breakgogo dead didi heavybough breakdidi alone whereas",10
"187","VLADIMIR","I hadn't thought of that.","i hadnt thought of that",5
"188","ESTRAGON","If it hangs you it'll hang anything.","if it hangs you itll hang anything",7
"189","VLADIMIR","but am I heavier than you?","but am i heavier than you",6
"190","ESTRAGON","So you tell me. I don't know. There's an even chance. Or nearly.","so you tell me i dont know theres an even chance or nearly",13
"191","VLADIMIR","Well? What do we do?","well what do we do",5
"192","ESTRAGON","Don't let's do anything. It's safer.","dont lets do anything its safer",6
"193","VLADIMIR","Let's wait and see what he says.","lets wait and see what he says",7
"194","ESTRAGON","Who?","who",1
"195","VLADIMIR","Godot.","godot",1
"196","ESTRAGON","Good idea.","good idea",2
"197","VLADIMIR","Let's wait till we know exactly how we stand.","lets wait till we know exactly how we stand",9
"198","ESTRAGON","On the other hand it might be better to strike the iron before it freezes.","on the other hand it might be better to strike the iron before it freezes",15
"199","VLADIMIR","I'm curious to hear what he has to offer. Then we'll take it or leave it.","im curious to hear what he has to offer then well take it or leave it",16
"200","ESTRAGON","What exactly did we ask him for?","what exactly did we ask him for",7
"201","VLADIMIR","Were you not there?","were you not there",4
"202","ESTRAGON","I can't have been listening.","i cant have been listening",5
"203","VLADIMIR","Oh Nothing very definite.","oh nothing very definite",4
"204","ESTRAGON","A kind of prayer.","a kind of prayer",4
"205","VLADIMIR","Precisely.","precisely",1
"206","ESTRAGON","A vague supplication.","a vague supplication",3
"207","VLADIMIR","Exactly.","exactly",1
"208","ESTRAGON","And what did he reply?","and what did he reply",5
"209","VLADIMIR","That he'd see.","that hed see",3
"210","ESTRAGON","That he couldn't promise anything.","that he couldnt promise anything",5
"211","VLADIMIR","That he'd have to think it over.","that hed have to think it over",7
"212","ESTRAGON","In the quiet of his home.","in the quiet of his home",6
"213","VLADIMIR","Consult his family.","consult his family",3
"214","ESTRAGON","His friends.","his friends",2
"215","VLADIMIR","His agents.","his agents",2
"216","ESTRAGON","His correspondents.","his correspondents",2
"217","VLADIMIR","His books.","his books",2
"218","ESTRAGON","His bank account.","his bank account",3
"219","VLADIMIR","before taking a decision.","before taking a decision",4
"220","ESTRAGON","It's the normal thing.","its the normal thing",4
"221","VLADIMIR","Is it not?","is it not",3
"222","ESTRAGON","I think it is.","i think it is",4
"223","VLADIMIR","I think so too.","i think so too",4
"224","ESTRAGON","And we?","and we",2
"225","VLADIMIR","I beg your pardon?","i beg your pardon",4
"226","ESTRAGON","I said, And we?","i said and we",4
"227","VLADIMIR","I don't understand.","i dont understand",3
"228","ESTRAGON","Where do we come in?","where do we come in",5
"229","VLADIMIR","Come in?","come in",2
"230","ESTRAGON","Take your time.","take your time",3
"231","VLADIMIR","Come in? On our hands and knees.","come in on our hands and knees",7
"232","ESTRAGON","As bad as that?","as bad as that",4
"233","VLADIMIR","Your Worship wishes to assert his prerogatives?","your worship wishes to assert his prerogatives",7
"234","ESTRAGON","We've no rights any more?","weve no rights any more",5
"235","VLADIMIR","You'd make me laugh if it wasn't prohibited.","youd make me laugh if it wasnt prohibited",8
"236","ESTRAGON","We've lost our rights?","weve lost our rights",4
"237","VLADIMIR","We got rid of them.","we got rid of them",5
"238","ESTRAGON","We're not tied? We're not","were not tied were not",5
"239","VLADIMIR","Listen!","listen",1
"240","ESTRAGON","I hear nothing.","i hear nothing",3
"241","VLADIMIR","Hsst! Nor I.","hsst nor i",3
"242","ESTRAGON","You gave me a fright.","you gave me a fright",5
"243","VLADIMIR","I thought it was he.","i thought it was he",5
"244","ESTRAGON","Who?","who",1
"245","VLADIMIR","Godot.","godot",1
"246","ESTRAGON","Pah! The wind in the reeds.","pah the wind in the reeds",6
"247","VLADIMIR","I could have sworn I heard shouts.","i could have sworn i heard shouts",7
"248","ESTRAGON","And why would he shout?","and why would he shout",5
"249","VLADIMIR","At his horse.","at his horse",3
"250","ESTRAGON","I'm hungry!","im hungry",2
"251","VLADIMIR","Do you want a carrot?","do you want a carrot",5
"252","ESTRAGON","Is that all there is?","is that all there is",5
"253","VLADIMIR","I might have some turnips.","i might have some turnips",5
"254","ESTRAGON","Give me a carrot. It's a turnip!","give me a carrot its a turnip",7
"255","VLADIMIR","Oh pardon! I could have sworn it was a carrot. All that's turnips. You must have eaten the last. Wait, I have it. There, dear fellow. Make it last, that's the end of them.","oh pardon i could have sworn it was a carrot all thats turnips you must have eaten the last wait i have it there dear fellow make it last thats the end of them",34
"256","ESTRAGON","I asked you a question.","i asked you a question",5
"257","VLADIMIR","Ah.","ah",1
"258","ESTRAGON","Did you reply?","did you reply",3
"259","VLADIMIR","How's the carrot?","hows the carrot",3
"260","ESTRAGON","It's a carrot.","its a carrot",3
"261","VLADIMIR","So much the better, so much the better. What was it you wanted to know?","so much the better so much the better what was it you wanted to know",15
"262","ESTRAGON","I've forgotten. That's what annoys me. I'll never forget this carrot. Ah yes, now I remember.","ive forgotten thats what annoys me ill never forget this carrot ah yes now i remember",16
"263","VLADIMIR","Well?","well",1
"264","ESTRAGON","We're not tied?","were not tied",3
"265","VLADIMIR","I don't hear a word you're saying.","i dont hear a word youre saying",7
"266","ESTRAGON","I'm asking you if we're tied.","im asking you if were tied",6
"267","VLADIMIR","Tied?","tied",1
"268","ESTRAGON","Tied.","tied",1
"269","VLADIMIR","How do you mean tied?","how do you mean tied",5
"270","ESTRAGON","Down.","down",1
"271","VLADIMIR","but to whom? By whom?","but to whom by whom",5
"272","ESTRAGON","To your man.","to your man",3
"273","VLADIMIR","To Godot? Tied to Godot! What an idea! No question of it. For the moment.","to godot tied to godot what an idea no question of it for the moment",15
"274","ESTRAGON","His name is Godot?","his name is godot",4
"275","VLADIMIR","I think so.","i think so",3
"276","ESTRAGON","Fancy that. Funny, the more you eat the worse it gets.","fancy that funny the more you eat the worse it gets",11
"277","VLADIMIR","With me it's just the opposite.","with me its just the opposite",6
"278","ESTRAGON","In other words?","in other words",3
"279","VLADIMIR","I get used to the muck as I go along.","i get used to the muck as i go along",10
"280","ESTRAGON","Is that the opposite?","is that the opposite",4
"281","VLADIMIR","Question of temperament.","question of temperament",3
"282","ESTRAGON","Of character.","of character",2
"283","VLADIMIR","Nothing you can do about it.","nothing you can do about it",6
"284","ESTRAGON","No use struggling.","no use struggling",3
"285","VLADIMIR","One is what one is.","one is what one is",5
"286","ESTRAGON","No use wriggling.","no use wriggling",3
"287","VLADIMIR","The essential doesn't change.","the essential doesnt change",4
"288","ESTRAGON","Nothing to be done. Like to finish it?","nothing to be done like to finish it",8
"289","ESTRAGON","Stay where you are!","stay where you are",4
"290","VLADIMIR","Who?","who",1
"291","ESTRAGON","Er","er",1
"292","VLADIMIR","Godot?","godot",1
"293","ESTRAGON","Yes.","yes",1
"294","ESTRAGON","He said Godot.","he said godot",3
"295","VLADIMIR","Not at all!","not at all",3
"296","ESTRAGON","You're not Mr. Godot, Sir?","youre not mr godot sir",5
"297","VLADIMIR","Pozzo Pozzo","pozzo pozzo",2
"298","VLADIMIR","Is it Pozzo or bozzo?","is it pozzo or bozzo",5
"299","ESTRAGON","Pozzo no I'm afraid I no I don't seem to","pozzo no im afraid i no i dont seem to",10
"300","VLADIMIR","I once knew a family called Gozzo. The mother had the clap.","i once knew a family called gozzo the mother had the clap",12
"301","ESTRAGON","We're not from these parts, Sir.","were not from these parts sir",6
"302","ESTRAGON","Nothing of the kind, we hardly know him.","nothing of the kind we hardly know him",8
"303","VLADIMIR","True we don't know him very well but all the same","true we dont know him very well but all the same",11
"304","ESTRAGON","Personally, I wouldn't even know him if I saw him.","personally i wouldnt even know him if i saw him",10
"305","ESTRAGON","We meant well.","we meant well",3
"306","VLADIMIR","He looks tired.","he looks tired",3
"307","ESTRAGON","Why doesn't he put down his bags?","why doesnt he put down his bags",7
"308","VLADIMIR","How do I know? Careful!","how do i know careful",5
"309","ESTRAGON","Say something to him.","say something to him",4
"310","VLADIMIR","Look!","look",1
"311","ESTRAGON","What?","what",1
"312","VLADIMIR","His neck!","his neck",2
"313","ESTRAGON","I see nothing.","i see nothing",3
"314","VLADIMIR","Here.","here",1
"315","ESTRAGON","Oh I say!","oh i say",3
"316","VLADIMIR","A running sore!","a running sore",3
"317","ESTRAGON","It's the rope.","its the rope",3
"318","VLADIMIR","It's the rubbing.","its the rubbing",3
"319","ESTRAGON","It's inevitable.","its inevitable",2
"320","VLADIMIR","It's the knot.","its the knot",3
"321","ESTRAGON","It's the chafing.","its the chafing",3
"322","VLADIMIR","He's not bad looking.","hes not bad looking",4
"323","ESTRAGON","Would you say so?","would you say so",4
"324","VLADIMIR","A trifle effeminate.","a trifle effeminate",3
"325","ESTRAGON","Look at the slobber.","look at the slobber",4
"326","VLADIMIR","It's inevitable.","its inevitable",2
"327","ESTRAGON","Look at the slaver.","look at the slaver",4
"328","VLADIMIR","Perhaps he's a halfwit.","perhaps hes a halfwit",4
"329","ESTRAGON","A cretin.","a cretin",2
"330","VLADIMIR","Looks like a goiter.","looks like a goiter",4
"331","ESTRAGON","It's not certain.","its not certain",3
"332","VLADIMIR","He's panting.","hes panting",2
"333","ESTRAGON","It's inevitable.","its inevitable",2
"334","VLADIMIR","And his eyes!","and his eyes",3
"335","ESTRAGON","What about them?","what about them",3
"336","VLADIMIR","Goggling out of his head.","goggling out of his head",5
"337","ESTRAGON","Looks like his last gasp to me.","looks like his last gasp to me",7
"338","VLADIMIR","It's not certain. Ask him a question.","its not certain ask him a question",7
"339","ESTRAGON","Would that be a good thing?","would that be a good thing",6
"340","VLADIMIR","What do we risk?","what do we risk",4
"341","ESTRAGON","Mister","mister",1
"342","VLADIMIR","Louder.","louder",1
"343","ESTRAGON","Mister","mister",1
"344","VLADIMIR","You couldn't have waited?","you couldnt have waited",4
"345","ESTRAGON","A disgrace!","a disgrace",2
"346","VLADIMIR","Let's go.","lets go",2
"347","ESTRAGON","So soon?","so soon",2
"348","ESTRAGON","What?","what",1
"349","VLADIMIR","You can ask him now. He's on the alert.","you can ask him now hes on the alert",9
"350","ESTRAGON","Ask him what?","ask him what",3
"351","VLADIMIR","Why he doesn't put down his bags.","why he doesnt put down his bags",7
"352","ESTRAGON","I wonder.","i wonder",2
"353","VLADIMIR","Ask him, can't you?","ask him cant you",4
"354","ESTRAGON","What is it?","what is it",3
"355","VLADIMIR","He's about to speak.","hes about to speak",4
"356","VLADIMIR","I'll carry you. If necessary.","ill carry you if necessary",5
"357","ESTRAGON","Swine!","swine",1
"358","VLADIMIR","After having sucked all the good out of him you chuck him away like a like a banana skin. Really","after having sucked all the good out of him you chuck him away like a like a banana skin really",20
"359","ESTRAGON","Any longer.","any longer",2
"360","VLADIMIR","He's going mad.","hes going mad",3
"361","ESTRAGON","It's terrible.","its terrible",2
"362","VLADIMIR","How dare you! It's abominable! Such a good master! Crucify him like that! After so many years! Really!","how dare you its abominable such a good master crucify him like that after so many years really",18
"363","VLADIMIR","What?","what",1
"364","ESTRAGON","Does he want someone to take his place or not?","does he want someone to take his place or not",10
"365","VLADIMIR","I don't think so.","i dont think so",4
"366","ESTRAGON","What?","what",1
"367","VLADIMIR","I don't know.","i dont know",3
"368","ESTRAGON","Ask him.","ask him",2
"369","ESTRAGON","Unforgettable.","unforgettable",1
"370","VLADIMIR","And it's not over.","and its not over",4
"371","ESTRAGON","Apparently not.","apparently not",2
"372","VLADIMIR","It's only beginning.","its only beginning",3
"373","ESTRAGON","It's awful.","its awful",2
"374","VLADIMIR","Worse than the pantomime.","worse than the pantomime",4
"375","ESTRAGON","The circus.","the circus",2
"376","VLADIMIR","The musichall.","the musichall",2
"377","ESTRAGON","The circus.","the circus",2
"378","VLADIMIR","I'll be back.","ill be back",3
"379","ESTRAGON","End of the corridor, on the left.","end of the corridor on the left",7
"380","VLADIMIR","Keep my seat.","keep my seat",3
"381","ESTRAGON","but take the weight off your feet, I implore you, you'll catch your death.","but take the weight off your feet i implore you youll catch your death",14
"382","VLADIMIR","One can bide one's time.","one can bide ones time",5
"383","ESTRAGON","One knows what to expect.","one knows what to expect",5
"384","VLADIMIR","No further need to worry.","no further need to worry",5
"385","ESTRAGON","Simply wait.","simply wait",2
"386","VLADIMIR","We're used to it.","were used to it",4
"387","ESTRAGON","I thought it was intentional.","i thought it was intentional",5
"388","VLADIMIR","What an idea!","what an idea",3
"389","VLADIMIR","We are not beggars!","we are not beggars",4
"390","VLADIMIR","That's enough!","thats enough",2
"391","ESTRAGON","I couldn't accept less.","i couldnt accept less",4
"392","VLADIMIR","I'd like well to hear him think.","id like well to hear him think",7
"393","ESTRAGON","Perhaps he could dance first and think afterwards, if it isn't too much to ask him.","perhaps he could dance first and think afterwards if it isnt too much to ask him",16
"394","VLADIMIR","Would that be possible?","would that be possible",4
"395","VLADIMIR","The Hard Stool.","the hard stool",3
"396","VLADIMIR","Wait!","wait",1
"397","VLADIMIR","He has it.","he has it",3
"398","VLADIMIR","Rubbish!","rubbish",1
"399","VLADIMIR","Anyway he has put them down.","anyway he has put them down",6
"400","ESTRAGON","So he has. And what of it?","so he has and what of it",7
